Type,Species,Scientific Name,Family,Order,Habitat,Feeding,Plastic type,Plastic_no
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,4
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,1
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,4
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,1
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
"*note: this is a cleaned dataset used for analysis in the paper: some of the single species samples were removed and not analysed, and some of the samples where debris was collected but degraded before it could be measured/categorised was also not included.",NA,NA,NA,NA,NA,NA,Fishing,NA
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Hard Plastic,1
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Hard Plastic,18
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Hard Plastic,2
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Hard Plastic,3
Bird,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding,Hard Plastic,0
Bird,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding,Hard Plastic,0
